timestamp,keyword,asin,price,rating,review_count,bsr,rank_page,rank_position,rank_absolute,product_url
2025-10-02T21:38:53.523236+00:00,saree printed,B0D45KZNYM,,3.8 out of 5,759 ratings,Best Sellers Rank: #397 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #7 in Women's Sarees,,,,https://www.amazon.in/dp/B0D45KZNYM
2025-10-02T21:39:03.059283+00:00,saree printed,B07GWRZ29S,,3.9 out of 5,922 ratings,"Best Sellers Rank: #13,978 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #716 in Women's Sarees",4.0,20.0,200.0,https://www.amazon.in/dp/B07GWRZ29S
2025-10-02T21:39:15.192579+00:00,saree printed,B0DV4HB9D2,,4.2 out of 5,141 ratings,"Best Sellers Rank: #1,354 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #57 in Women's Sarees",,,,https://www.amazon.in/dp/B0DV4HB9D2
2025-10-02T21:39:28.031652+00:00,saree printed,B0CXM8L2CK,,4.1 out of 5,317 ratings,"Best Sellers Rank: #2,689 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #130 in Women's Sarees",,,,https://www.amazon.in/dp/B0CXM8L2CK
2025-10-02T21:39:41.298065+00:00,saree printed silk,B0D3F9QDNX,,3.8 out of 5,11 ratings,"Best Sellers Rank: #187,974 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #10,835 in Women's Sarees",,,,https://www.amazon.in/dp/B0D3F9QDNX
2025-10-02T21:39:43.395325+00:00,saree printed silk,B0D3F7JZH3,,3.4 out of 5,18 ratings,"Best Sellers Rank: #75,074 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #4,003 in Women's Sarees",1.0,21.0,21.0,https://www.amazon.in/dp/B0D3F7JZH3
2025-10-02T21:39:52.858527+00:00,saree printed silk,B0D45KZNYM,,3.8 out of 5,759 ratings,Best Sellers Rank: #397 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #7 in Women's Sarees,4.0,6.0,186.0,https://www.amazon.in/dp/B0D45KZNYM
2025-10-02T21:39:54.919693+00:00,saree printed silk,B07GWRZ29S,,3.9 out of 5,922 ratings,"Best Sellers Rank: #13,978 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #716 in Women's Sarees",1.0,26.0,26.0,https://www.amazon.in/dp/B07GWRZ29S
2025-10-02T21:40:07.077036+00:00,saree printed silk,B0DV4HB9D2,,4.2 out of 5,141 ratings,"Best Sellers Rank: #1,354 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #57 in Women's Sarees",,,,https://www.amazon.in/dp/B0DV4HB9D2
2025-10-02T21:40:20.210662+00:00,saree printed silk,B0CXM8L2CK,,4.1 out of 5,317 ratings,"Best Sellers Rank: #2,689 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #130 in Women's Sarees",,,,https://www.amazon.in/dp/B0CXM8L2CK
2025-10-02T21:40:33.436492+00:00,printed silk saree for women,B0D3F9QDNX,,3.8 out of 5,11 ratings,"Best Sellers Rank: #187,974 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #10,835 in Women's Sarees",,,,https://www.amazon.in/dp/B0D3F9QDNX
